PAYMENT_NUMBER,MONTH,PAYMENT,PRINCIPAL,PERCENT_PRINCIPAL_OF_PAYMENT,INTEREST,PERCENT_INTEREST_OF_PAYMENT,REMAINING_BALANCE,PERCENT_OF_LOAN_PAID,PERCENT_OF_ASSET_OWNED
19,7,516.22,76.89,14.894812289334002,439.33,85.10518771066599,78609.92999999998,1.737587500000032,21.390070000000023
20,8,516.22,77.31,14.976172949517647,438.91,85.02382705048235,78532.61999999998,1.8342250000000178,21.46738000000002
21,9,516.22,77.75,15.06140792685289,438.47,84.9385920731471,78454.86999999998,1.931412500000036,21.54513000000003
22,10,516.22,78.18,15.144705745612336,438.04,84.85529425438766,78376.68999999999,2.0291375000000045,21.623310000000004
23,11,516.22,78.62,15.22994072294758,437.6,84.77005927705243,78298.06999999999,2.1274125000000197,21.701930000000004
24,12,516.22,79.06,15.315175700282824,437.16,84.68482429971718,78219.01,2.2262375000000105,21.780990000000003
25,1,516.22,79.5,15.400410677618067,436.72,84.59958932238193,78139.51,2.3256125000000054,21.860490000000013
26,2,516.22,79.94,15.485645654953315,436.28,84.51435434504667,78059.56999999999,2.4255375000000043,21.940430000000006
27,3,516.22,80.39,15.57281779086436,435.83,84.42718220913564,77979.18,2.526025000000004,22.020820000000015
28,4,516.22,80.84,15.659989926775406,435.38,84.34001007322459,77898.34,2.627075000000005,22.101659999999995
29,5,516.22,81.29,15.747162062686451,434.93,84.25283793731354,77817.05,2.7286874999999924,22.182950000000005
30,6,516.22,81.74,15.834334198597496,434.48,84.1656658014025,77735.31,2.830862499999995,22.26469
31,7,516.22,82.2,15.923443493084344,434.02,84.07655650691565,77653.11,2.9336125000000095,22.346890000000002
32,8,516.22,82.66,16.012552787571188,433.56,83.9874472124288,77570.45,3.0369375000000076,22.429549999999992
33,9,516.22,83.12,16.101662082058038,433.1,83.89833791794197,77487.33,3.1408374999999893,22.51267
34,10,516.22,83.58,16.190771376544884,432.64,83.80922862345511,77403.75,3.245312499999997,22.596249999999998
35,11,516.22,84.05,16.28181782960753,432.17,83.71818217039247,77319.7,3.3503749999999997,22.680300000000003
36,12,516.22,84.52,16.37286428267018,431.7,83.62713571732982,77235.18,3.456025000000011,22.764820000000014
37,1,516.22,84.99,16.463910735732824,431.23,83.53608926426718,77150.18999999999,3.562262500000017,22.84981000000002
38,2,516.22,85.46,16.55495718879547,430.76,83.44504281120452,77064.72999999998,3.6690875000000176,22.935270000000017
39,3,516.22,85.94,16.647940800433922,430.28,83.35205919956607,76978.78999999998,3.776512500000024,23.021210000000025
40,4,516.22,86.42,16.74092441207237,429.8,83.25907558792763,76892.36999999998,3.884537500000036,23.10763000000003
41,5,516.22,86.9,16.833908023710823,429.32,83.16609197628917,76805.46999999999,3.993162500000011,23.194530000000015
42,6,516.22,87.39,16.928828793925067,428.83,83.07117120607492,76718.07999999999,4.102400000000017,23.281920000000014
43,7,516.22,87.88,17.02374956413932,428.34,82.97625043586066,76630.19999999998,4.212250000000012,23.369800000000012
44,8,516.22,88.37,17.11867033435357,427.85,82.88132966564643,76541.82999999999,4.322712500000009,23.45817000000001
45,9,516.22,88.86,17.21359110456782,427.36,82.78640889543217,76452.96999999999,4.433787500000022,23.547030000000007
46,10,516.22,89.36,17.31044903335787,426.86,82.68955096664212,76363.60999999999,4.545487500000021,23.63639000000002
47,11,516.22,89.86,17.40730696214792,426.36,82.59269303785207,76273.74999999999,4.65781250000002,23.72625000000002
48,12,516.22,90.36,17.50416489093797,425.86,82.49583510906203,76183.38999999998,4.770762500000018,23.81661000000001
49,1,516.22,90.86,17.601022819728023,425.36,82.39897718027197,76092.52999999998,4.884337500000029,23.907470000000018
50,2,516.22,91.37,17.699817907093877,424.85,82.30018209290613,76001.15999999999,4.998550000000009,23.998840000000015
51,3,516.22,91.88,17.798612994459724,424.34,82.20138700554025,75909.27999999998,5.113400000000027,24.09072000000002
52,4,516.22,92.39,17.897408081825578,423.83,82.10259191817441,75816.88999999998,5.228887500000027,24.183110000000013
53,5,516.22,92.91,17.998140327767228,423.31,82.00185967223277,75723.97999999998,5.345025000000021,24.276020000000017
